customer_id,churned,churn_date,churn_reason
CUST_000001,0,,
CUST_000002,0,,
CUST_000003,0,,
CUST_000004,0,,
CUST_000005,0,,
CUST_000006,0,,
CUST_000007,1,2023-12-23,Financial
CUST_000008,0,,
CUST_000009,1,2023-10-17,Financial
CUST_000010,0,,
CUST_000011,0,,
CUST_000012,1,2023-10-06,Financial
CUST_000013,0,,
CUST_000014,0,,
CUST_000015,0,,
CUST_000016,0,,
CUST_000017,0,,
CUST_000018,0,,
CUST_000019,1,2023-11-07,Financial
CUST_000020,0,,
CUST_000021,0,,
CUST_000022,1,2023-11-03,Service
CUST_000023,0,,
CUST_000024,0,,
CUST_000025,0,,
CUST_000026,0,,
CUST_000027,0,,
CUST_000028,1,2023-10-31,Life_Change
CUST_000029,0,,
CUST_000030,0,,
CUST_000031,0,,
CUST_000032,0,,
CUST_000033,0,,
CUST_000034,0,,
CUST_000035,0,,
CUST_000036,0,,
CUST_000037,0,,
CUST_000038,0,,
CUST_000039,0,,
CUST_000040,0,,
CUST_000041,1,2023-10-20,Financial
CUST_000042,0,,
CUST_000043,0,,
CUST_000044,1,2023-10-16,Price
CUST_000045,1,2023-12-28,Service
CUST_000046,0,,
CUST_000047,0,,
CUST_000048,0,,
CUST_000049,0,,
CUST_000050,0,,
CUST_000051,0,,
CUST_000052,0,,
CUST_000053,0,,
CUST_000054,0,,
CUST_000055,0,,
CUST_000056,0,,
CUST_000057,1,2023-12-11,Competition
CUST_000058,0,,
CUST_000059,0,,
CUST_000060,0,,
CUST_000061,1,2023-10-14,Competition
CUST_000062,1,2023-12-17,Price
CUST_000063,0,,
CUST_000064,0,,
CUST_000065,0,,
CUST_000066,0,,
CUST_000067,1,2023-11-26,Unknown
CUST_000068,1,2023-10-07,Competition
CUST_000069,0,,
CUST_000070,0,,
CUST_000071,0,,
CUST_000072,0,,
CUST_000073,0,,
CUST_000074,1,2023-10-06,Service
CUST_000075,0,,
CUST_000076,0,,
CUST_000077,0,,
CUST_000078,0,,
CUST_000079,0,,
CUST_000080,0,,
CUST_000081,1,2023-10-14,Service
CUST_000082,0,,
CUST_000083,0,,
CUST_000084,0,,
CUST_000085,1,2023-10-30,Unknown
CUST_000086,0,,
CUST_000087,0,,
CUST_000088,0,,
CUST_000089,0,,
CUST_000090,0,,
CUST_000091,0,,
CUST_000092,1,2023-11-01,Financial
CUST_000093,0,,
CUST_000094,0,,
CUST_000095,1,2023-12-06,Price
CUST_000096,0,,
CUST_000097,0,,
CUST_000098,0,,
CUST_000099,0,,
CUST_000100,0,,
CUST_000101,0,,
CUST_000102,0,,
CUST_000103,1,2023-12-19,Service
CUST_000104,0,,
CUST_000105,0,,
CUST_000106,0,,
CUST_000107,0,,
CUST_000108,0,,
CUST_000109,0,,
CUST_000110,1,2023-10-06,Financial
CUST_000111,0,,
CUST_000112,0,,
CUST_000113,0,,
CUST_000114,0,,
